Province,Municipality,Mangroves (ha),Avoided EAD (USD m/yr),NPV (USD m),BCR low,BCR mid,BCR high
Cebu,Talisay City,4.914654731750488,1.6010785720000043,24.612501938261563,3338.6545995802703,1251.9954748426014,500.79818993704055
Iloilo,Iloilo City,100.04859924316406,25.737822464000107,395.6534153664464,2636.408161363171,988.6530605111892,395.4612242044757
Negros Occidental,Enrique B. Magalona,1.005953311920166,0.07997518800000847,1.2294146608958776,814.7592579282949,305.5347217231106,122.21388868924423
Cebu,Cebu City,119.62799072265625,3.689975104000002,56.723961576656905,316.11309490359935,118.54241058884976,47.4169642355399
Cebu,Cordoba,60.37064743041992,0.7045390359999993,10.83049182743723,119.59997436303675,44.84999038613878,17.93999615445551
Negros Occidental,Pulupandan,124.3288803100586,0.8563712360000014,13.16452488624114,70.58979299317896,26.471172372442112,10.588468948976844
Cebu,Pinamungahan,124.50350189208984,0.7427805050000017,11.418356936835824,61.14075381179445,22.92778267942292,9.171113071769167
Camarines Norte,Daet,110.52237701416016,0.6191170810000003,9.517347007579154,57.40826587759562,21.528099704098356,8.611239881639342
Negros Occidental,Calatrava,163.12229919433594,0.7598251899999976,11.680375522266903,47.736680106302636,17.90125503986349,7.160502015945395
Bulacan,Paombong,120.27252197265625,0.5075205459999964,7.801834738521779,43.24531550271315,16.21699331351743,6.486797325406973
Capiz,Roxas City,370.38360595703125,1.5241095760000198,23.42929981666346,42.17123263528305,15.814212238231143,6.325684895292457
Misamis Oriental,Cagayan de Oro City,110.8635025024414,0.4082169120000005,6.275294488065345,37.73586044350441,14.150947666314151,5.66037906652566
Negros Occidental,Victorias City,113.82177734375,0.37481710799999907,5.7618576367678385,33.74783379907234,12.655437674652125,5.06217506986085
Albay,Malinao,95.89026641845703,0.2882766069999989,4.431518023303432,30.809647936282087,11.553617976105784,4.621447190442313
Cebu,Bogo City,210.3682403564453,0.5962731869999999,9.166180365800846,29.04804879377161,10.893018297664353,4.357207319065742
Aklan,Nabas,89.49565124511719,0.22195369512500007,3.411972308544746,25.416298714521062,9.531112017945398,3.8124448071781596
Pangasinan,Lingayen,299.56988525390625,0.6874124319999964,10.567213946190366,23.516413512290395,8.818655067108898,3.5274620268435593
Camarines Sur,Cabusao,103.39649200439453,0.21724787299999967,3.3396322883869556,21.532853604904474,8.074820101839178,3.2299280407356714
Negros Occidental,San Carlos City,154.7672882080078,0.3139453440000005,4.826109425757892,20.7886713083348,7.7957517406255485,3.1183006962502193
Zamboanga del Norte,Dapitan City,377.0732421875,0.7612417800000003,11.702151982667118,20.689441154331874,7.758540432874453,3.103416173149781
