poly_id,GID_2,NAME_1,NAME_2,EAD_nomang_usd,EAD_with_usd,EAD_avoided_usd,mangrove_ha,NPV_benefits_usd,NPV_cost_low,NPV_cost_mid,NPV_cost_high,BCR_low,BCR_mid,BCR_high,pop_exposed_nomang,ntl_exposed_nomang,pop_exposed_with,ntl_exposed_with,pop_avoided,ntl_avoided
1032,PHL.51.2_1,Negros Occidental,Bago City,27665860.608000003,27084712.687999997,581147.9200000055,0,8933667.939574905,0,0,0,8933667939574904,8933667939574904,8933667939574904,113.42395782470703,228.8662109375,113.42395782470703,228.8662109375,0,0
466,PHL.25.27_1,Cebu,Lapu-Lapu City,57791752.368,57618709.84,173042.52799999714,0,2660087.7872479567,0,0,0,2660087787247956.5,2660087787247956.5,2660087787247956.5,156.2745819091797,226.08114624023438,156.2745819091797,226.08114624023438,0,0
145,PHL.10.11_1,Bataan,Pilar,9084804.457999999,8987735.044,97069.41399999894,0,1492194.8129231983,0,0,0,1492194812923198.2,1492194812923198.2,1492194812923198.2,31.478439331054688,42.665130615234375,31.478439331054688,42.665130615234375,0,0
290,PHL.17.11_1,Bulacan,Malolos City,10520354.365999999,10432391.81,87962.555999998,0,1352200.0843094077,0,0,0,1352200084309407.8,1352200084309407.8,1352200084309407.8,129.76402282714844,66.866607666015625,129.76402282714844,66.866607666015625,0,0
89,PHL.5.18_1,Albay,Tabaco City,1601461.4997499997,1560121.4902500003,41340.00949999946,0,635497.2714896126,0,0,0,635497271489612.6,635497271489612.6,635497271489612.6,15.586641311645508,5.663290500640869,15.586641311645508,5.663290500640869,0,0
977,PHL.47.17_1,Metropolitan Manila,Valenzuela,28822139.968000002,28797312.256000005,24827.711999997497,0,381662.7868295127,0,0,0,381662786829512.7,381662786829512.7,381662786829512.7,255.8472137451172,310.01934814453125,255.8472137451172,310.01934814453125,0,0
865,PHL.43.10_1,Leyte,Capoocan,806001.4284999999,792550.24975,13451.178749999963,0,206777.58658822143,0,0,0,206777586588221.4,206777586588221.4,206777586588221.4,18.266756057739258,10.55485725402832,18.266756057739258,10.55485725402832,0,0
1015,PHL.49.21_1,Misamis Oriental,Opol,26840205.915999997,26827339.075999994,12866.840000003576,0,197794.86777079204,0,0,0,197794867770792.03,197794867770792.03,197794867770792.03,164.3260955810547,112.09983825683594,164.3260955810547,112.09983825683594,0,0
670,PHL.36.24_1,Iloilo,Leganes,20249039.335999995,20238401.948,10637.387999996543,0,163522.72608389796,0,0,0,163522726083897.94,163522726083897.94,163522726083897.94,67.11307525634766,88.17927551269531,67.11307525634766,88.17927551269531,0,0
470,PHL.25.31_1,Cebu,Mandaue City,141365557.696,141358635.20000002,6922.495999991894,0,106415.73074366766,0,0,0,106415730743667.66,106415730743667.66,106415730743667.66,511.8843688964844,1060.747314453125,511.8843688964844,1060.747314453125,0,0
1048,PHL.51.18_1,Negros Occidental,Manapla,1795794.8064999997,1789163.5785,6631.227999999654,0,101938.22767808885,0,0,0,101938227678088.84,101938227678088.84,101938227678088.84,18.943355560302734,7.471311569213867,18.943355560302734,7.471311569213867,0,0
1045,PHL.51.15_1,Negros Occidental,Kabankalan City,1300367.7607500001,1295697.6775000002,4670.083249999909,0,71790.6260520894,0,0,0,71790626052089.39,71790626052089.39,71790626052089.39,23.00849151611328,8.321511268615723,23.00849151611328,8.321511268615723,0,0
289,PHL.17.10_1,Bulacan,Hagonoy,4287377.662,4283005.098,4372.563999999315,0,67217.02595190036,0,0,0,67217025951900.35,67217025951900.35,67217025951900.35,74.5477066040039,31.833545684814453,74.5477066040039,31.833545684814453,0,0
736,PHL.39.1_1,La Union,Agoo,3253789.2260000003,3249433.1429999997,4356.083000000566,0,66963.67258654554,0,0,0,66963672586545.53,66963672586545.53,66963672586545.53,99.865997314453125,28.038415908813477,99.865997314453125,28.038415908813477,0,0
292,PHL.17.13_1,Bulacan,Meycauayan City,18421995.023999996,18418500.436,3494.587999995798,0,53720.38288906782,0,0,0,53720382889067.81,53720382889067.81,53720382889067.81,91.481170654296875,150.56683349609375,91.481170654296875,150.56683349609375,0,0
1040,PHL.51.10_1,Negros Occidental,Himamaylan City,11778160.971999997,11774900.504,3260.4679999966174,0,50121.38465466661,0,0,0,50121384654666.61,50121384654666.61,50121384654666.61,58.54780578613281,85.59886932373047,58.54780578613281,85.59886932373047,0,0
1200,PHL.58.13_1,Oriental Mindoro,Roxas,2821018.1695,2817764.0135000004,3254.1559999994934,0,50024.35374382913,0,0,0,50024353743829.125,50024353743829.125,50024353743829.125,57.986968994140625,11.572160720825195,57.986968994140625,11.572160720825195,0,0
70,PHL.4.16_1,Aklan,Numancia,378641.77074999997,376212.838125,2428.9326249999576,0,37338.647825409804,0,0,0,37338647825409.805,37338647825409.805,37338647825409.805,28.517349243164062,2.214259624481201,28.517349243164062,2.214259624481201,0,0
401,PHL.22.13_1,Capiz,President Roxas,2479960.865,2477762.298,2198.567000000272,0,33797.36353682489,0,0,0,33797363536824.887,33797363536824.887,33797363536824.887,37.27968978881836,32.46836471557617,37.27968978881836,32.46836471557617,0,0
448,PHL.25.9_1,Cebu,Bantayan,2158448.5700000003,2156684.858,1763.7120000002906,0,27112.576345530037,0,0,0,27112576345530.035,27112576345530.035,27112576345530.035,41.562862396240234,19.113752365112305,41.562862396240234,19.113752365112305,0,0
