NAME_1,NAME_2,EAD_nomang_usd,EAD_with_usd,EAD_avoided_usd,NPV_benefits_usd,BCR_low,BCR_mid,BCR_high,pop_exposed_nomang,ntl_exposed_nomang,pop_exposed_with,ntl_exposed_with
Negros Occidental,Bago City,27665860.608000003,27084712.687999997,581147.9200000055,8933667.939574905,8933667939574904,8933667939574904,8933667939574904,113.42395782470705,228.8662109375,113.42395782470705,228.8662109375
Cebu,Lapu-Lapu City,57791752.368,57618709.84,173042.52799999714,2660087.7872479567,2660087787247956.5,2660087787247956.5,2660087787247956.5,156.2745819091797,226.0811462402344,156.2745819091797,226.0811462402344
Bataan,Pilar,9084804.458,8987735.044,97069.41399999894,1492194.8129231983,1492194812923198.2,1492194812923198.2,1492194812923198.2,31.478439331054688,42.665130615234375,31.478439331054688,42.665130615234375
Bulacan,Malolos City,10520354.366,10432391.81,87962.555999998,1352200.0843094075,1352200084309407.8,1352200084309407.8,1352200084309407.8,129.76402282714844,66.866607666015625,129.76402282714844,66.866607666015625
Albay,Tabaco City,1601461.4997499995,1560121.4902500005,41340.00949999946,635497.2714896126,635497271489612.6,635497271489612.6,635497271489612.6,15.586641311645508,5.663290500640869,15.586641311645508,5.663290500640869
Metropolitan Manila,Valenzuela,28822139.968,28797312.256000005,24827.711999997497,381662.7868295127,381662786829512.7,381662786829512.7,381662786829512.7,255.8472137451172,310.01934814453125,255.8472137451172,310.01934814453125
Leyte,Capoocan,806001.4284999999,792550.24975,13451.178749999965,206777.58658822143,206777586588221.4,206777586588221.4,206777586588221.4,18.266756057739254,10.55485725402832,18.266756057739254,10.55485725402832
Misamis Oriental,Opol,26840205.915999997,26827339.075999994,12866.840000003576,197794.86777079204,197794867770792.03,197794867770792.03,197794867770792.03,164.3260955810547,112.09983825683594,164.3260955810547,112.09983825683594
Iloilo,Leganes,20249039.335999995,20238401.948,10637.387999996545,163522.72608389796,163522726083897.94,163522726083897.94,163522726083897.94,67.11307525634766,88.17927551269531,67.11307525634766,88.17927551269531
Cebu,Mandaue City,141365557.696,141358635.20000002,6922.495999991894,106415.73074366766,106415730743667.66,106415730743667.66,106415730743667.66,511.8843688964844,1060.747314453125,511.8843688964844,1060.747314453125
Negros Occidental,Manapla,1795794.8064999997,1789163.5785,6631.227999999654,101938.22767808884,101938227678088.84,101938227678088.84,101938227678088.84,18.943355560302734,7.471311569213867,18.943355560302734,7.471311569213867
Negros Occidental,Kabankalan City,1300367.76075,1295697.6775000002,4670.083249999909,71790.6260520894,71790626052089.39,71790626052089.39,71790626052089.39,23.00849151611328,8.321511268615723,23.00849151611328,8.321511268615723
Bulacan,Hagonoy,4287377.662,4283005.098,4372.563999999315,67217.02595190036,67217025951900.35,67217025951900.35,67217025951900.35,74.5477066040039,31.833545684814453,74.5477066040039,31.833545684814453
La Union,Agoo,3253789.2260000003,3249433.1429999997,4356.083000000566,66963.67258654554,66963672586545.53,66963672586545.53,66963672586545.53,99.865997314453125,28.038415908813477,99.865997314453125,28.038415908813477
Bulacan,Meycauayan City,18421995.023999996,18418500.436,3494.587999995798,53720.38288906782,53720382889067.81,53720382889067.81,53720382889067.81,91.481170654296875,150.56683349609375,91.481170654296875,150.56683349609375
Negros Occidental,Himamaylan City,11778160.971999995,11774900.504,3260.4679999966174,50121.38465466661,50121384654666.61,50121384654666.61,50121384654666.61,58.54780578613281,85.59886932373047,58.54780578613281,85.59886932373047
Oriental Mindoro,Roxas,2821018.1695,2817764.0135000004,3254.155999999494,50024.35374382913,50024353743829.125,50024353743829.125,50024353743829.125,57.986968994140625,11.572160720825195,57.986968994140625,11.572160720825195
Aklan,Numancia,378641.77075,376212.838125,2428.9326249999576,37338.64782540981,37338647825409.805,37338647825409.805,37338647825409.805,28.517349243164062,2.214259624481201,28.517349243164062,2.214259624481201
Capiz,President Roxas,2479960.865,2477762.298,2198.567000000272,33797.36353682489,33797363536824.887,33797363536824.887,33797363536824.887,37.27968978881836,32.46836471557617,37.27968978881836,32.46836471557617
Cebu,Bantayan,2158448.5700000003,2156684.858,1763.7120000002906,27112.576345530037,27112576345530.035,27112576345530.035,27112576345530.035,41.562862396240234,19.113752365112305,41.562862396240234,19.113752365112305
